instance_id,n,scenario,time_scratch_sec,time_warm_sec,iter_scratch,iter_warm,speedup,status_scratch,status_warm
1,15,capacity,0.00017079999997804407,4.2499999835854396e-05,4,1,4.018823544416854,optimal,optimal
1,15,value,0.00015410000014526304,2.700000004551839e-05,4,1,5.707407403165594,optimal,optimal
1,15,volume,0.00011489999997138511,4.510000144364312e-05,4,0,2.5476717581697628,optimal,optimal
2,8,capacity,0.00012009999954898376,2.8000000384054147e-05,4,0,4.289285639345208,optimal,optimal
2,8,value,0.0001312000003963476,8.400000297115184e-06,4,0,15.619047113772803,optimal,optimal
2,8,volume,0.0001159999992523808,4.73000000056345e-05,4,0,2.4524312735425493,optimal,optimal
3,18,capacity,0.0002432000001135748,3.0399998649954796e-05,8,1,8.000000359011082,optimal,optimal
3,18,value,0.00024910000138334,4.200001058052294e-06,9,0,59.30950919780422,optimal,optimal
3,18,volume,0.0002038000002357876,3.3399999665562063e-05,9,0,6.101796475343108,optimal,optimal
4,17,capacity,0.00023150000015448313,5.899999450775795e-06,8,0,39.23729181433111,optimal,optimal
4,17,value,0.0002280000007885974,2.4599999960628338e-05,8,1,9.268292729817295,optimal,optimal
4,17,volume,0.00018420000014884863,3.2300000384566374e-05,8,0,5.702786314419467,optimal,optimal
5,5,capacity,6.880000000819564e-05,6.600001142942347e-06,2,0,10.424240620286303,optimal,optimal
5,5,value,7.689999983995222e-05,5.899999450775795e-06,2,0,13.033899491268697,optimal,optimal
5,5,volume,5.8900001022266224e-05,2.700000004551839e-05,2,0,2.1814815156655074,optimal,optimal
6,19,capacity,0.0001954000017576618,1.3900000340072438e-05,5,0,14.05755373935793,optimal,optimal
6,19,value,0.00021550000019487925,4.269999953976367e-05,4,2,5.046838466454747,optimal,optimal
6,19,volume,0.00010649999967426993,3.4300001061637886e-05,3,0,3.1049561626218902,optimal,optimal
7,15,capacity,0.00014819999887549784,6.100000973674469e-06,4,0,24.29507790491816,optimal,optimal
7,15,value,0.00015020000137155876,2.2500000341096893e-05,4,1,6.675555515313222,optimal,optimal
7,15,volume,0.0001095000006898772,2.7399999453336932e-05,4,0,3.9963504698735184,optimal,optimal
8,12,capacity,0.00015220000022964086,6.299998858594336e-06,5,0,24.15873457215196,optimal,optimal
8,12,value,0.00014879999980621506,6.199999916134402e-06,5,0,24.00000029338539,optimal,optimal
8,12,volume,0.00012059999971825164,2.8599999495781958e-05,5,0,4.216783281273771,optimal,optimal
9,18,capacity,0.00020050000057381112,5.699999746866524e-06,6,0,35.1754402592794,optimal,optimal
9,18,value,0.00021569999989878852,2.1899999410379678e-05,7,1,9.849315329047716,optimal,optimal
9,18,volume,0.0001509000012447359,3.389999983482994e-05,6,0,4.451327492034275,optimal,optimal
10,22,capacity,0.00033400000029359944,2.8300000849412754e-05,12,1,11.802119797481568,optimal,optimal
10,22,value,0.00036780000118596945,6.100000973674469e-06,12,0,60.2950725374093,optimal,optimal
10,22,volume,0.00028619999829970766,3.590000051190145e-05,12,0,7.972144685759198,optimal,optimal
11,22,capacity,0.00033830000029411167,6.099999154685065e-06,12,0,55.45902412695951,optimal,optimal
11,22,value,0.00029720000020461157,2.5000001187436283e-05,10,1,11.887999443534788,optimal,optimal
11,22,volume,0.0002645999993546866,3.4500000765547156e-05,12,0,7.669565028500664,optimal,optimal
12,15,capacity,0.0002203999993071193,2.660000063769985e-05,8,1,8.285714061027093,optimal,optimal
12,15,value,0.00019840000095427968,3.6999990697950125e-06,7,0,53.6216353603763,optimal,optimal
12,15,volume,0.00016239999968092889,3.079999987676274e-05,7,0,5.272727283465109,optimal,optimal
13,20,capacity,0.00023360000159300398,2.7599999157246202e-05,7,1,8.463768432096991,optimal,optimal
13,20,value,0.0002456999991409248,5.699999746866524e-06,7,0,43.10526492145795,optimal,optimal
13,20,volume,0.0002150999989680713,3.3399999665562063e-05,7,0,6.440119794068613,optimal,optimal
